id,employeename,jobtitle,basepay,overtimepay,otherpay,benefits,year,status,total_compensation,is_executive,job_level
87,Employee_87,REGISTERED NURSE,29105.43,0.0,55.17,9280.14,2019,FT,29160.599998168946,False,Standard
88,Employee_88,CUSTODIAN,45492.16,3424.99,3763.03,13922.42,2019,FT,52680.18002929688,False,Standard
89,Employee_89,ANIMAL CARE ATTENDANT,100024.72,6248.53,448.78,38286.62,2020,PT,106722.0299987793,False,Medium
90,Employee_90,RECREATION LEADER,78038.57,3119.7,3600.41,28917.2,2021,FT,84758.67991210938,False,Medium
91,Employee_91,SENIOR CLERK,71182.91,0.0,3241.52,22255.84,2020,PT,74424.43001953125,False,Standard
92,Employee_92,ANIMAL CARE ATTENDANT,66591.81,0.0,1431.79,17784.24,2020,FT,68023.6000390625,False,Standard
93,Employee_93,RECREATION LEADER,70264.73,0.0,3697.43,28761.69,2022,FT,73962.15993164062,False,Standard
94,Employee_94,ELECTRICAL TRANSIT SYSTEM MECHANIC,84714.67,4534.07,2463.37,27261.48,2020,FT,91712.11011718749,False,Medium
95,Employee_95,SOCIAL WORKER,42834.73,137.47,2488.89,13243.11,2023,FT,45461.08989257813,False,Standard
96,Employee_96,CUSTODIAN,53181.02,9128.04,611.7,16683.49,2022,FT,62920.76001220703,False,Standard
97,Employee_97,DEPUTY SHERIFF,75459.12,0.0,10586.79,28963.31,2019,FT,86045.9100390625,False,Medium
98,Employee_98,ASSISTANT MEDICAL EXAMINER,68003.31,6080.08,2467.48,22188.12,2020,FT,76550.86998046875,False,Medium
99,Employee_99,HEAD LIBRARIAN,122155.78,0.0,210.82,46062.21,2019,FT,122366.60000732422,True,Medium
100,Employee_100,REGISTERED NURSE,45409.85,0.0,2134.91,16755.49,2020,PT,47544.75991210937,False,Standard
101,Employee_101,RECREATION LEADER,77142.57,0.0,5916.22,20813.47,2020,FT,83058.79021484376,False,Medium
103,Employee_103,ANIMAL CARE ATTENDANT,79736.37,185.18,374.06,22866.2,2019,FT,80295.60999755858,False,Medium
104,Employee_104,TRANSIT OPERATOR,72782.23,0.0,3008.9,19122.49,2021,FT,75791.12990234375,False,Medium
105,Employee_105,ANIMAL CARE ATTENDANT,68082.33,7262.84,3949.16,27190.43,2022,FT,79294.32991210937,False,Medium
106,Employee_106,ANIMAL CARE ATTENDANT,53302.98,843.46,3901.86,16296.31,2020,FT,58048.30010742188,False,Standard
107,Employee_107,ANIMAL CARE ATTENDANT,68560.03,0.0,2059.25,27184.56,2023,PT,70619.28,False,Standard
108,Employee_108,HEAD LIBRARIAN,142791.18,0.0,2477.57,48811.33,2020,FT,145268.75006835937,True,Medium
109,Employee_109,SENIOR CLERK,87905.26,3628.7,2696.11,26514.25,2023,FT,94230.07010742187,False,Medium
110,Employee_110,ASSISTANT MEDICAL EXAMINER,52203.92,4066.37,3009.19,23526.19,2020,PT,59279.47994140625,False,Standard
111,Employee_111,DEPUTY SHERIFF,60155.06,4068.47,3274.66,22407.12,2021,FT,67498.18991210937,False,Standard
112,Employee_112,ANIMAL CARE ATTENDANT,74017.01,0.0,5283.36,21793.39,2022,FT,79300.36986328124,False,Medium
113,Employee_113,ASSISTANT DEPUTY CHIEF 2,112553.5,3641.52,2169.24,38774.51,2019,PT,118364.25999023438,True,Medium
114,Employee_114,SENIOR CLERK,103617.89,9260.99,450.41,44640.67,2023,FT,113329.29000366211,False,Medium
115,Employee_115,CHIEF OF POLICE,144822.38,0.0,1567.12,45912.36,2020,FT,146389.4999951172,True,Medium
116,Employee_116,ASSISTANT DEPUTY CHIEF 2,158003.39,8983.74,4261.34,53738.08,2021,PT,171248.46984375,True,High
117,Employee_117,TRANSIT OPERATOR,98471.19,3050.2,3359.58,33474.76,2022,FT,104880.970078125,False,Medium
118,Employee_118,REGISTERED NURSE,89917.17,0.0,3342.26,27233.2,2022,FT,93259.43000976562,False,Medium
119,Employee_119,DEPUTY SHERIFF,51315.22,1594.01,4754.83,15815.38,2019,FT,57664.060078125,False,Standard
120,Employee_120,REGISTERED NURSE,51929.31,3182.33,6560.37,20773.55,2023,PT,61672.0101171875,False,Standard
121,Employee_121,SENIOR CLERK,89029.94,0.0,1795.6,34888.82,2022,FT,90825.53997558594,False,Medium
122,Employee_122,ASSISTANT MEDICAL EXAMINER,60976.49,3421.71,2301.38,24035.82,2023,FT,66699.5798828125,False,Standard
123,Employee_123,HEAD LIBRARIAN,70850.2,7867.08,801.36,,2021,FT,79518.63998535156,True,Medium
124,Employee_124,SENIOR CLERK,79516.01,778.79,1217.51,,2022,FT,81512.31000976561,False,Medium
125,Employee_125,RECREATION LEADER,60509.74,2311.57,2916.59,16486.7,2021,FT,65737.90008789062,False,Standard
126,Employee_126,ASSISTANT DEPUTY CHIEF 2,101813.48,2596.72,1878.61,31481.8,2023,FT,106288.80998535156,True,Medium
127,Employee_127,SPECIAL NURSE,63684.21,0.0,1321.65,22778.48,2023,FT,65005.86002441406,False,Standard
128,Employee_128,ANIMAL CARE ATTENDANT,93569.02,875.61,1096.25,,2023,FT,95540.88,False,Medium
129,Employee_129,DIRECTOR OF PUBLIC WORKS,125774.09,1223.19,1563.87,48349.76,2021,FT,128561.14999511719,True,Medium
130,Employee_130,HEAD LIBRARIAN,179154.27,4932.79,1377.87,59646.94,2022,FT,185464.92999511719,True,High
131,Employee_131,ASSISTANT DEPUTY CHIEF 2,132138.29,6994.14,4368.94,50279.32,2020,FT,143501.36994140627,True,Medium
132,Employee_132,ASSISTANT DEPUTY CHIEF 2,115557.63,0.0,747.32,44495.92,2021,FT,116304.95000732422,True,Medium
133,Employee_133,SPECIAL NURSE,70082.66,6122.5,734.55,27115.21,2022,FT,76939.70998779297,False,Medium
134,Employee_134,ASSISTANT DEPUTY CHIEF 2,135233.71,0.0,2847.98,53106.07,2019,FT,138081.68998046874,True,Medium
136,Employee_136,CUSTODIAN,111534.23,2918.09,4512.43,39860.29,2019,FT,118964.75017578124,False,Medium
137,Employee_137,DIRECTOR OF PUBLIC WORKS,90259.1,1779.99,800.27,27349.08,2021,FT,92839.36001953126,True,Medium
138,Employee_138,TRANSIT OPERATOR,87180.92,2503.38,2192.16,27077.96,2021,FT,91876.45991210938,False,Medium
139,Employee_139,GENERAL LABORER,74155.01,3992.87,1070.64,30206.0,2021,FT,79218.52001464843,False,Medium
140,Employee_140,SENIOR CLERK,50151.46,0.0,2180.71,13506.02,2021,FT,52332.1699609375,False,Standard
142,Employee_142,FIREFIGHTER,95352.47,0.0,2163.26,29162.95,2021,FT,97515.73000976563,False,Medium
143,Employee_143,DEPUTY SHERIFF,52856.47,11556.3,2546.89,24161.1,2021,FT,66959.65989257813,False,Standard
144,Employee_144,ELECTRICAL TRANSIT SYSTEM MECHANIC,69821.32,16332.86,273.34,25885.43,2021,FT,86427.5199963379,False,Medium
145,Employee_145,CHIEF INVESTMENT OFFICER,63887.25,1365.63,2357.54,26570.57,2022,FT,67610.4200390625,True,Standard
146,Employee_146,RECREATION LEADER,44823.87,0.0,4896.02,12702.0,2021,FT,49719.89001953125,False,Standard
149,Employee_149,RECREATION LEADER,47823.94,9217.1,2085.41,17212.21,2023,FT,59126.449912109376,False,Standard
150,Employee_150,SPECIAL NURSE,74589.21,0.0,2884.28,22571.35,2019,FT,77473.49002929688,False,Medium
151,Employee_151,RECREATION LEADER,59551.75,0.0,1365.5,23441.74,2022,FT,60917.25,False,Standard
152,Employee_152,DEPUTY SHERIFF,60583.57,0.0,5965.49,24928.44,2020,FT,66549.060234375,False,Standard
153,Employee_153,ACCOUNTANT INTERN,84786.52,0.0,1410.36,22916.79,2019,FT,86196.87998535157,False,Medium
154,Employee_154,CUSTODIAN,46765.33,8664.13,1622.87,19228.17,2022,FT,57052.32999511719,False,Standard
156,Employee_156,HEAD LIBRARIAN,109622.4,0.0,3369.02,31894.17,2023,FT,112991.42001953124,True,Medium
157,Employee_157,REGISTERED NURSE,89388.2,114.24,1839.19,31267.21,2022,PT,91341.62994140625,False,Medium
158,Employee_158,ASSISTANT DEPUTY CHIEF 2,170573.77,0.0,1366.79,46179.78,2023,PT,171940.5600390625,True,High
159,Employee_159,CHIEF OF POLICE,102057.78,0.0,2703.86,33572.63,2022,FT,104761.64010742187,True,Medium
160,Employee_160,ANIMAL CARE ATTENDANT,88747.54,1989.77,1941.8,26726.18,2023,FT,92679.11004882812,False,Medium
161,Employee_161,CHIEF INVESTMENT OFFICER,97770.88,0.0,4230.5,38565.54,2019,FT,102001.38,True,Medium
163,Employee_163,ELECTRICAL TRANSIT SYSTEM MECHANIC,47324.58,10102.13,3376.97,17162.83,2019,FT,60803.679970703124,False,Standard
164,Employee_164,ELECTRICAL TRANSIT SYSTEM MECHANIC,96569.58,9946.4,4581.18,43213.45,2020,PT,111097.16017578125,False,Medium
165,Employee_165,ELECTRICAL TRANSIT SYSTEM MECHANIC,56870.28,0.0,948.97,,2019,FT,57819.249970703124,False,Standard
166,Employee_166,RECREATION LEADER,110264.93,0.0,10469.35,37883.33,2021,FT,120734.279609375,False,Medium
168,Employee_168,POLICE OFFICER 3,49679.67,2052.42,416.73,,2020,FT,52148.820010986325,False,Standard
169,Employee_169,GENERAL LABORER,59555.23,0.0,4704.08,18885.58,2023,PT,64259.310078125,False,Standard
170,Employee_170,TRANSIT OPERATOR,85623.62,0.0,4258.16,27871.28,2022,FT,89881.78015625,False,Medium
171,Employee_171,REGISTERED NURSE,91052.89,0.0,3462.17,25965.25,2022,FT,94515.059921875,False,Medium
172,Employee_172,SPECIAL NURSE,68585.69,5844.46,4025.96,27699.12,2023,FT,78456.10996093751,False,Medium
173,Employee_173,ANIMAL CARE ATTENDANT,70893.17,5047.67,4250.67,,2021,FT,80191.509921875,False,Medium
174,Employee_174,SENIOR ENGINEER,110717.18,0.0,6767.9,,2020,PT,117485.07990234374,False,Medium
175,Employee_175,ASSISTANT MEDICAL EXAMINER,72635.97,18675.87,1388.33,26524.42,2023,FT,92700.16995605468,False,Medium
176,Employee_176,SENIOR CLERK,57368.87,0.0,5737.68,17388.04,2021,FT,63106.55017578125,False,Standard
177,Employee_177,SENIOR ENGINEER,69862.68,326.37,4100.58,22568.71,2022,FT,74289.63007812499,False,Standard
178,Employee_178,POLICE OFFICER 3,74702.4,0.0,2769.71,21065.93,2020,FT,77472.1099609375,False,Medium
179,Employee_179,SOCIAL WORKER,94309.65,0.0,309.49,37083.38,2020,PT,94619.13999023437,False,Medium
180,Employee_180,CHIEF OF POLICE,184175.37,4875.23,3716.36,68936.74,2019,FT,192766.96010742188,True,High
182,Employee_182,POLICE OFFICER 3,75745.82,6632.9,3098.14,30960.28,2019,FT,85476.85989257813,False,Medium
183,Employee_183,CHIEF OF POLICE,152957.3,12712.53,1176.83,47788.7,2022,FT,166846.65995605467,True,High
184,Employee_184,ASSISTANT MEDICAL EXAMINER,56664.98,0.0,1829.09,15857.65,2019,FT,58494.069965820316,False,Standard
185,Employee_185,CHIEF OF POLICE,120483.69,0.0,1459.5,38340.77,2022,FT,121943.19,True,Medium
186,Employee_186,SENIOR CLERK,69572.6,1101.05,3485.93,27761.85,2023,FT,74159.57993164063,False,Standard
187,Employee_187,POLICE OFFICER 3,45025.15,1379.23,4967.89,15389.97,2022,PT,51372.270136718755,False,Standard
188,Employee_188,ELECTRICAL TRANSIT SYSTEM MECHANIC,76670.98,0.0,2451.43,19894.1,2021,FT,79122.40993164062,False,Medium
190,Employee_190,CUSTODIAN,83753.05,9665.93,2322.74,26808.59,2023,FT,95741.71999023439,False,Medium
191,Employee_191,ASSISTANT MEDICAL EXAMINER,80922.24,2413.81,9833.23,30878.65,2019,FT,93169.28046875,False,Medium
192,Employee_192,HEAD LIBRARIAN,112279.33,2282.12,6938.02,30646.06,2022,FT,121499.47001953125,True,Medium
193,Employee_193,DIRECTOR OF PUBLIC WORKS,137924.97,4710.23,6923.2,48805.02,2022,FT,149558.4001953125,True,Medium
194,Employee_194,GENERAL LABORER,69146.34,8690.44,2190.03,24731.59,2019,FT,80026.81002929687,False,Medium
197,Employee_197,GENERAL LABORER,77394.12,0.0,619.73,19925.07,2020,FT,78013.84998046875,False,Medium
198,Employee_198,REGISTERED NURSE,83368.35,0.0,1199.11,31157.05,2023,FT,84567.45998535157,False,Medium
199,Employee_199,GENERAL LABORER,56606.37,5020.27,3656.57,24068.88,2023,FT,65283.210068359374,False,Standard
200,Employee_200,CHIEF INVESTMENT OFFICER,127865.96,0.0,1445.41,45195.8,2020,FT,129311.3700341797,True,Medium
201,Employee_201,GENERAL LABORER,57527.95,4821.29,5566.07,26445.85,2023,FT,67915.30982421874,False,Standard
202,Employee_202,ACCOUNTANT INTERN,59469.87,8416.34,1832.02,25829.77,2023,FT,69718.23001953126,False,Standard
203,Employee_203,CHIEF OF POLICE,85502.54,0.0,805.07,24410.8,2022,PT,86307.61000732421,True,Medium
204,Employee_204,ASSISTANT MEDICAL EXAMINER,95315.5,2351.82,5373.05,31657.29,2019,FT,103040.3698046875,False,Medium
205,Employee_205,SENIOR CLERK,118707.81,8507.63,2635.39,39278.38,2020,FT,129850.82989257813,False,Medium
207,Employee_207,ANIMAL CARE ATTENDANT,109443.92,12686.28,284.97,48116.14,2023,FT,122415.1700012207,False,Medium
208,Employee_208,CHIEF INVESTMENT OFFICER,119187.15,14048.11,8431.83,48498.28,2023,FT,141667.090078125,True,Medium
210,Employee_210,ANIMAL CARE ATTENDANT,65449.41,15772.03,4464.9,33522.87,2020,FT,85686.33990234375,False,Medium
211,Employee_211,DEPUTY SHERIFF,75103.87,3742.35,254.55,,2023,FT,79100.77000305176,False,Medium
212,Employee_212,SENIOR ENGINEER,80657.77,0.0,3366.65,24359.69,2020,FT,84024.41990234375,False,Medium
213,Employee_213,ANIMAL CARE ATTENDANT,77446.51,1292.61,4352.25,32071.35,2020,PT,83091.37,False,Medium
214,Employee_214,SENIOR CLERK,112725.99,912.41,8829.62,36940.27,2023,FT,122468.02011718751,False,Medium
215,Employee_215,SENIOR ENGINEER,88038.17,65.05,6220.69,30884.64,2021,FT,94323.90994140625,False,Medium
216,Employee_216,DEPUTY SHERIFF,105534.4,0.0,2563.77,34795.01,2020,FT,108098.17001953124,False,Medium
217,Employee_217,SPECIAL NURSE,74782.99,0.0,674.25,29318.51,2019,FT,75457.24,False,Medium
218,Employee_218,REGISTERED NURSE,75409.71,150.21,6872.08,23892.87,2021,FT,82432.00007812501,False,Medium
219,Employee_219,SENIOR CLERK,67366.06,808.63,894.31,20720.42,2023,FT,69068.9999975586,False,Standard
221,Employee_221,REGISTERED NURSE,67319.46,2773.84,748.78,27131.98,2022,FT,70842.08002929688,False,Standard
222,Employee_222,SENIOR CLERK,75185.77,0.0,1756.86,20561.58,2020,PT,76942.62998535157,False,Medium
225,Employee_225,SENIOR ENGINEER,84149.59,1873.31,4191.97,33072.28,2022,PT,90214.87021484374,False,Medium
226,Employee_226,CUSTODIAN,40860.29,2206.15,835.73,13254.52,2022,FT,43902.16998046875,False,Standard
227,Employee_227,ANIMAL CARE ATTENDANT,56035.57,9930.03,1802.38,20577.42,2021,PT,67767.98000488282,False,Standard
228,Employee_228,DIRECTOR OF PUBLIC WORKS,117246.69,0.0,2811.32,38470.2,2020,FT,120058.01006835938,True,Medium
229,Employee_229,ASSISTANT DEPUTY CHIEF 2,145680.01,180.58,2628.71,,2022,FT,148489.2999609375,True,Medium
230,Employee_230,POLICE OFFICER 3,81095.93,4435.44,2217.88,29321.95,2023,FT,87749.2498828125,False,Medium
231,Employee_231,SENIOR CLERK,108591.98,1135.49,337.06,40329.62,2023,FT,110064.5299975586,False,Medium
232,Employee_232,RECREATION LEADER,57102.79,0.0,597.63,14893.92,2020,FT,57700.42000488281,False,Standard
233,Employee_233,TRANSIT OPERATOR,76808.81,7281.76,3165.46,32533.94,2022,PT,87256.02996093749,False,Medium
234,Employee_234,SENIOR ENGINEER,68222.45,0.0,6171.64,19246.32,2019,FT,74394.09013671875,False,Standard
235,Employee_235,CHIEF OF POLICE,103692.85,0.0,340.43,39755.91,2021,FT,104033.27999267579,True,Medium
236,Employee_236,SENIOR ENGINEER,67139.57,0.0,2266.71,17801.89,2021,FT,69406.2799609375,False,Standard
237,Employee_237,HEAD LIBRARIAN,69348.33,16499.27,4874.81,24420.19,2020,PT,90722.41005859376,True,Medium
238,Employee_238,SENIOR CLERK,118669.45,11956.77,328.34,36278.03,2023,FT,130954.55999633789,False,Medium
239,Employee_239,CUSTODIAN,83772.23,7082.54,1953.1,26307.1,2023,FT,92807.86997558593,False,Medium
240,Employee_240,HEAD LIBRARIAN,134299.96,2119.45,1886.01,42911.24,2019,PT,138305.42000976563,True,Medium
241,Employee_241,REGISTERED NURSE,70786.26,3209.12,1933.89,26447.86,2020,PT,75929.27001464843,False,Medium
242,Employee_242,DIRECTOR OF PUBLIC WORKS,145411.46,14266.61,2505.5,62260.73,2020,FT,162183.57,True,High
243,Employee_243,SPECIAL NURSE,34774.21,5465.67,2094.63,13914.31,2023,FT,42334.5098828125,False,Standard
244,Employee_244,HEAD LIBRARIAN,130892.63,606.77,3665.25,44587.23,2021,FT,135164.65,True,Medium
246,Employee_246,SPECIAL NURSE,82542.19,0.0,2029.91,31300.31,2023,FT,84572.10003417969,False,Medium
247,Employee_247,SENIOR ENGINEER,100880.61,2509.77,6145.2,29199.22,2022,PT,109535.5801953125,False,Medium
248,Employee_248,ELECTRICAL TRANSIT SYSTEM MECHANIC,50258.9,4218.66,8232.5,18509.84,2019,FT,62710.06,False,Standard
249,Employee_249,ANIMAL CARE ATTENDANT,40039.2,9074.05,5840.39,14537.83,2019,FT,54953.64013671875,False,Standard
250,Employee_250,TRANSIT OPERATOR,55758.92,0.0,1531.21,16163.1,2020,FT,57290.1299609375,False,Standard
251,Employee_251,POLICE OFFICER 3,81298.35,1713.07,3353.16,29190.34,2020,FT,86364.57991210939,False,Medium
252,Employee_252,CHIEF OF POLICE,150843.29,10058.11,550.56,43413.47,2022,FT,161451.95999755862,True,High
253,Employee_253,POLICE OFFICER 3,42641.15,4708.72,2851.7,13308.07,2019,PT,50201.56995117188,False,Standard
254,Employee_254,CUSTODIAN,50378.01,5375.1,316.65,20963.73,2020,FT,56069.759993896485,False,Standard
